Id;Label;Tipo;Categoria
A_ANDRIELLI MORAIS DE OLIVEIRA;ANDRIELLI MORAIS DE OLIVEIRA;AUTOR_DOCENTE;AUTOR
A_MARCELA RODRIGUES MACHADO;MARCELA RODRIGUES MACHADO;AUTOR_DOCENTE;AUTOR
A_MARIA LEONOR SILVA DE ALMEIDA;MARIA LEONOR SILVA DE ALMEIDA;AUTOR_DOCENTE;AUTOR
A_MYLENE CHRISTINE QUEIROZ DE FARIAS;MYLENE CHRISTINE QUEIROZ DE FARIAS;AUTOR_DOCENTE;AUTOR
V_0307-904X;0307-904X;VEICULO;A1
V_0378-7796;0378-7796;VEICULO;A1
V_0923-5965;0923-5965;VEICULO;A2
V_0964-1726;0964-1726;VEICULO;A1
V_1070-9908;1070-9908;VEICULO;A1
V_1380-7501;1380-7501;VEICULO;A2
V_1573-7721;1573-7721;VEICULO;A2
V_2073-4360;2073-4360;VEICULO;A2
V_2352-7102;2352-7102;VEICULO;A1
